Constituency,Flooding
Kumhrar,0
Bakhtiarpur,0
Patna Sahib,0
Bankipur,0
Phulwari,0
Danapur,0
Pipra,1
Sikta,1
Digha,0
Arwal,0
Bikram,0
Amarpur,0
Arrah Bhojpur,0
Atri,0
Maner,0
Nawada,0
Bahadurpur,1
Barhara,0
Fatuha,0
Gaya Town,0
Raxaul,1
Tikari,0
Masaurhi,0
Gaighat,1
Nalanda,0
Paliganj,0
Rajgir,0
Amnour,1
Bettiah,1
Hajipur,0
Sasaram,0
Jehanabad,0
Sandesh,0
Barh,0
Bhabua,0
Hilsa,0
Bagaha,1
Narkatiya,1
Nautan,1
Nokha,0
Baikunthpur,1
Ramnagar,1
Valmiki Nagar,1
Ghosi,0
Islampur,0
Lakhisarai,0
Mokama,0
Sugauli,1
Vaishali,0
Aurangabad,0
Darbhanga,1
Khajauli,1
Kurtha,0
Makhdumpur,0
Bathnaha,1
Begusarai,0
Belaganj,0
Biharsharif,0
Bodh Gaya,0
Buxar,0
Chainpur,0
Chenari,0
Gobindpur,0
Jagdishpur,0
Madhuban,1
Madhubani,1
Purnia,0
Shahpur,0
Alamnagar,1
Alinagar,1
Araria,0
Barauli,1
Bhagalpur,0
Bihariganj,1
Bihpur,0
Chanpatia,1
Chapra,1
Chhatapur,1
Dehri,0
Dinara,0
Gaura Bauram,1
Goh,0
Gopalpur,0
Govindganj,1
Gurua,0
Harnaut,0
Hasanpur,1
Hisua,0
Imamganj,0
Jamui ,0
Jhajha,0
Kahalgaon,0
Kalyanpur,1
Karakat,0
Kargahar,0
Katihar,0
Keoti,1
Kusheshwar Asthan,1
Kutumba,0
Lalganj,0
Mohania,0
Muzaffarpur,1
Nabinagar,0
Nathnagar,0
Nirmali,1
Obra,0
Parsa,1
Pirpainti,0
Rafiganj,0
Ramgarh,0
Rupauli,0
Sheohar,1
Sherghati,0
Sikandra,0
Sitamarhi,1
Sonepur,1
Sultanganj,0
Wazirganj,0
